date,symbol,twitterPosts,twitterComments,twitterLikes,twitterImpressions,twitterSentiment
2021-11-19,C,100.0,439.0,1678.0,533102.0,
2021-11-19,CMG,47.0,82.0,259.0,347387.0,
2021-11-19,CRM,158.0,12680.0,58315.0,536291.0,
2021-11-19,DIS,364.0,82.0,532.0,3124967.0,
2021-11-19,EA,62.0,24.0,118.0,155321.0,
2021-11-19,EBAY,99.0,37.0,88.0,222664.0,
2021-11-19,EL,90.0,1.0,3.0,130016.0,
2021-11-19,ES,367.0,575.0,4361.0,1259741.0,
2021-11-19,F,825.0,23127.0,168966.0,4676580.0,
2021-11-19,FCX,133.0,370.0,797.0,343193.0,
2021-11-19,GILD,71.0,0.0,6.0,851678.0,
2021-11-19,GOOG,346.0,2842.0,34681.0,1597064.0,
2021-11-19,GOOGL,549.0,3149.0,23800.0,2620365.0,
2021-11-19,GS,117.0,177.0,528.0,595705.0,
2021-11-19,JPM,206.0,4989.0,7627.0,1400781.0,
2021-11-19,K,35.0,2544.0,9231.0,107007.0,
2021-11-19,KEY,156.0,181.0,654.0,1156417.0,
2021-11-19,KO,47.0,28.0,176.0,250494.0,
2021-11-19,L,21.0,0.0,0.0,47758.0,
2021-11-19,LUV,111.0,2.0,2.0,530809.0,
2021-11-19,MA,121.0,78.0,823.0,569920.0,
2021-11-19,META,748.0,1258.0,5522.0,5658879.0,
2021-11-19,MNST,172.0,768.0,633.0,1624378.0,
2021-11-19,MO,47.0,253.0,931.0,166212.0,
2021-11-19,MSFT,363.0,207.0,2572.0,2969615.0,
2021-11-19,MU,526.0,219.0,2454.0,3170947.0,
2021-11-19,NFLX,237.0,306.0,2204.0,1170624.0,
2021-11-19,NKE,298.0,837.0,4077.0,3225058.0,
2021-11-19,NVDA,1312.0,4667.0,44035.0,7564360.0,
2021-11-19,OXY,60.0,0.0,0.0,270179.0,
2021-11-19,PEP,74.0,222.0,2588.0,222422.0,
2021-11-19,PFE,604.0,90.0,290.0,5258715.0,
2021-11-19,PG,56.0,1.0,4.0,253722.0,
2021-11-19,PM,34.0,0.0,6.0,309978.0,
2021-11-19,REGN,25.0,2.0,3.0,347057.0,
2021-11-19,SLB,51.0,0.0,1.0,401855.0,
2021-11-19,STZ,21.0,22.0,70.0,96460.0,
2021-11-19,T,249.0,430.0,1487.0,1052418.0,
2021-11-19,TSLA,5051.0,66152.0,604286.0,20487356.0,
2021-11-19,TSN,33.0,35.0,132.0,272031.0,
2021-11-19,V,213.0,1090.0,6149.0,1281536.0,
2021-11-20,AAPL,638.0,6557.0,51217.0,4549378.0,
2021-11-20,ABBV,23.0,317.0,1534.0,124193.0,
2021-11-20,ABT,67.0,12.0,12.0,3028.0,
2021-11-20,AMD,172.0,1045.0,8744.0,1219383.0,
2021-11-20,AMZN,335.0,2363.0,20708.0,1526175.0,
2021-11-20,ATVI,185.0,235.0,1237.0,411856.0,
2021-11-20,BA,171.0,501.0,1471.0,710853.0,
2021-11-20,C,60.0,513.0,1883.0,57330.0,
2021-11-20,CRM,66.0,259.0,4507.0,348479.0,
2021-11-20,DIS,183.0,1080.0,4996.0,659916.0,
2021-11-20,EA,25.0,1.0,3.0,125418.0,
2021-11-20,ES,128.0,2270.0,2746.0,178204.0,
2021-11-20,F,516.0,2537.0,18595.0,2387554.0,
2021-11-20,FCX,46.0,51.0,213.0,56670.0,
2021-11-20,GILD,21.0,0.0,0.0,94232.0,
2021-11-20,GOOG,133.0,2747.0,48252.0,976602.0,
2021-11-20,GOOGL,176.0,4006.0,25924.0,840317.0,
2021-11-20,GS,90.0,479.0,1817.0,546237.0,
2021-11-20,JPM,280.0,10099.0,17978.0,2703705.0,
2021-11-20,KEY,473.0,38.0,168.0,3976236.0,
2021-11-20,KO,115.0,704.0,2685.0,178550.0,
2021-11-20,MA,74.0,117.0,500.0,430832.0,
2021-11-20,META,278.0,10095.0,53517.0,3587703.0,
2021-11-20,MNST,157.0,127.0,504.0,737105.0,
2021-11-20,MO,37.0,45.0,186.0,107452.0,
2021-11-20,MSFT,153.0,3345.0,14441.0,1121852.0,
2021-11-20,MU,169.0,95.0,700.0,444146.0,
2021-11-20,NFLX,139.0,38291.0,161388.0,876161.0,
2021-11-20,NKE,91.0,318.0,1146.0,323394.0,
2021-11-20,NVDA,460.0,1788.0,18598.0,2100215.0,
2021-11-20,OXY,27.0,6.0,10.0,153245.0,
2021-11-20,PEP,44.0,1064.0,13693.0,161817.0,
2021-11-20,PFE,125.0,409.0,1477.0,951049.0,
2021-11-20,PG,78.0,88.0,458.0,358044.0,
2021-11-20,PM,30.0,8.0,10.0,222161.0,
2021-11-20,T,142.0,40.0,132.0,528440.0,
2021-11-20,TSLA,3440.0,76359.0,652079.0,9744584.0,
2021-11-20,V,137.0,5.0,54.0,529870.0,
2021-11-21,AAPL,463.0,11910.0,85673.0,2611858.0,
2021-11-21,ABBV,43.0,1669.0,8632.0,170938.0,
2021-11-21,ABT,41.0,0.0,0.0,106715.0,
2021-11-21,AMD,168.0,831.0,6447.0,1413471.0,
2021-11-21,AMZN,316.0,1325.0,6935.0,1181271.0,
2021-11-21,ATVI,63.0,387.0,5284.0,560069.0,
2021-11-21,BA,211.0,382.0,3454.0,1030646.0,
2021-11-21,C,73.0,233.0,902.0,317347.0,
2021-11-21,CMG,24.0,709.0,3607.0,76730.0,
2021-11-21,CRM,97.0,57965.0,218572.0,290104.0,
2021-11-21,DIS,186.0,411.0,2350.0,1543252.0,
2021-11-21,EA,29.0,13.0,55.0,456379.0,
2021-11-21,EBAY,63.0,394.0,2085.0,540221.0,
2021-11-21,ES,72.0,163.0,861.0,85030.0,
2021-11-21,F,207.0,5002.0,36846.0,961360.0,
2021-11-21,FCX,51.0,468.0,1050.0,228157.0,
2021-11-21,GILD,27.0,28.0,18.0,213166.0,
2021-11-21,GOOG,142.0,1345.0,11946.0,634068.0,
2021-11-21,GOOGL,164.0,31702.0,176255.0,1046930.0,
2021-11-21,GS,70.0,337.0,1125.0,339982.0,
2021-11-21,JPM,59.0,538.0,936.0,482023.0,
2021-11-21,KEY,1424.0,16556.0,33088.0,5499169.0,
2021-11-21,KO,63.0,13295.0,51638.0,259748.0,
2021-11-21,MA,83.0,1210.0,6385.0,637743.0,
2021-11-21,META,335.0,3616.0,21876.0,1862173.0,
2021-11-21,MNST,94.0,342.0,1331.0,512050.0,
2021-11-21,MO,22.0,64.0,479.0,128549.0,
2021-11-21,MSFT,178.0,327.0,963.0,624609.0,
2021-11-21,MU,142.0,80.0,391.0,752470.0,
2021-11-21,NFLX,229.0,16274.0,15414.0,804717.0,
2021-11-21,NKE,85.0,230.0,634.0,360102.0,
2021-11-21,NVDA,337.0,3610.0,23251.0,1677761.0,
2021-11-21,OXY,44.0,87.0,271.0,195041.0,
2021-11-21,PEP,35.0,161.0,1210.0,151668.0,
2021-11-21,PFE,164.0,453.0,1007.0,1217786.0,
2021-11-21,PG,55.0,5902.0,31225.0,224283.0,
2021-11-21,T,103.0,30.0,55.0,479404.0,
2021-11-21,TSLA,3552.0,92760.0,948324.0,10119206.0,
2021-11-21,V,100.0,202.0,2065.0,206687.0,
2021-11-22,AAL,123.0,142.0,1057.0,880817.0,
2021-11-22,AAPL,2130.0,9471.0,53753.0,20781957.0,
2021-11-22,ABBV,96.0,659.0,2686.0,539670.0,
2021-11-22,ABT,62.0,16.0,56.0,182234.0,
2021-11-22,AMD,833.0,7908.0,20014.0,8328039.0,
2021-11-22,AMZN,1262.0,23000.0,78827.0,14120815.0,
2021-11-22,ATVI,572.0,18677.0,163758.0,15104565.0,
2021-11-22,BA,342.0,1165.0,10319.0,1148157.0,
2021-11-22,C,127.0,653.0,1998.0,574596.0,
2021-11-22,CMG,71.0,22.0,45.0,89914.0,
2021-11-22,CRM,172.0,3202.0,15850.0,913747.0,
2021-11-22,D,49.0,10.0,33.0,153894.0,
2021-11-22,DAL,66.0,927.0,3831.0,808051.0,
2021-11-22,DIS,564.0,997.0,6850.0,5696256.0,
2021-11-22,EA,86.0,67.0,193.0,808309.0,
2021-11-22,EBAY,128.0,351.0,2405.0,707075.0,
2021-11-22,EL,28.0,15.0,74.0,195296.0,
2021-11-22,ES,583.0,4028.0,31953.0,1583084.0,
2021-11-22,F,993.0,4498.0,31593.0,8095436.0,
2021-11-22,FCX,108.0,2500.0,3300.0,1100455.0,
2021-11-22,GILD,74.0,29.0,285.0,628171.0,
2021-11-22,GOOG,383.0,1077.0,5397.0,2414735.0,
2021-11-22,GOOGL,513.0,5288.0,32755.0,3391861.0,
2021-11-22,GS,283.0,572.0,5846.0,5631381.0,
2021-11-22,J,86.0,5469.0,12022.0,992827.0,
2021-11-22,JPM,1293.0,463073.0,4040929.0,4050624.0,
2021-11-22,K,24.0,6.0,39.0,221584.0,
2021-11-22,KEY,1769.0,10051.0,74799.0,1668987.0,
2021-11-22,KO,86.0,677.0,2703.0,475659.0,
2021-11-22,LUV,73.0,106.0,461.0,276425.0,
2021-11-22,MA,328.0,838.0,5529.0,1781058.0,
2021-11-22,META,800.0,5581.0,27783.0,9556544.0,
2021-11-22,MNST,197.0,4847.0,17855.0,2596532.0,
2021-11-22,MO,65.0,125.0,796.0,248018.0,
2021-11-22,MSFT,658.0,5709.0,22192.0,3798311.0,
2021-11-22,MU,548.0,930.0,5613.0,4918065.0,
2021-11-22,NFLX,412.0,11421.0,11607.0,3238485.0,
2021-11-22,NKE,195.0,1642.0,9723.0,1015411.0,
2021-11-22,NVDA,1614.0,4045.0,30386.0,13411302.0,
2021-11-22,OXY,311.0,121584.0,43074.0,650241.0,
2021-11-22,PEP,95.0,165.0,1240.0,976230.0,
2021-11-22,PFE,501.0,16078.0,108390.0,7099914.0,
2021-11-22,PG,69.0,1877.0,10067.0,324919.0,
2021-11-22,PM,35.0,122.0,870.0,192923.0,
2021-11-22,REGN,43.0,10.0,60.0,191108.0,
2021-11-22,SLB,34.0,89.0,108.0,100691.0,
2021-11-22,STZ,125.0,357.0,1680.0,1027158.0,
2021-11-22,T,279.0,516.0,2058.0,1548209.0,
2021-11-22,TSLA,7489.0,406975.0,3833881.0,32298524.0,
2021-11-22,V,348.0,300.0,3619.0,1078358.0,
2021-11-23,AAL,112.0,21.0,102.0,703871.0,
2021-11-23,AAPL,2144.0,29803.0,93381.0,24331054.0,
2021-11-23,ABBV,91.0,27.0,360.0,1400543.0,
2021-11-23,AMD,536.0,1320.0,10264.0,3281815.0,
2021-11-23,AMZN,1448.0,54546.0,73601.0,7943432.0,
2021-11-23,ATVI,41.0,162.0,898.0,465437.0,
2021-11-23,BA,202.0,518.0,3759.0,823555.0,
2021-11-23,CRM,75.0,262.0,987.0,442287.0,
2021-11-23,DIS,368.0,590.0,3348.0,1696610.0,
2021-11-23,EBAY,22.0,6.0,24.0,306758.0,
2021-11-23,ES,267.0,448.0,3344.0,1338222.0,
2021-11-23,F,353.0,1187.0,7847.0,2041299.0,
2021-11-23,FCX,21.0,748.0,823.0,40611.0,
2021-11-23,GOOG,187.0,289.0,1356.0,1255383.0,
2021-11-23,GOOGL,188.0,4858.0,20778.0,1350051.0,
2021-11-23,GS,275.0,8426.0,13978.0,3561999.0,
2021-11-23,JPM,472.0,135816.0,1274378.0,3021091.0,
2021-11-23,KEY,344.0,2303.0,17556.0,1790960.0,
2021-11-23,MA,143.0,961.0,5863.0,1494166.0,
2021-11-23,META,530.0,5495.0,29011.0,3262969.0,
2021-11-23,MSFT,404.0,3554.0,17171.0,2916912.0,
2021-11-23,MU,282.0,294.0,1402.0,2184228.0,
2021-11-23,NFLX,273.0,2399.0,9998.0,2289152.0,
2021-11-23,NKE,24.0,258.0,1234.0,67684.0,
2021-11-23,NVDA,961.0,5546.0,31166.0,4928911.0,
2021-11-23,OXY,106.0,139.0,265.0,745174.0,
2021-11-23,PFE,294.0,15076.0,113222.0,1019048.0,
2021-11-23,PG,69.0,429.0,2469.0,643801.0,
2021-11-23,T,70.0,34.0,208.0,785387.0,
2021-11-23,TSLA,8067.0,528782.0,5267682.0,37541772.0,
2021-11-23,V,226.0,456.0,3834.0,1459750.0,
2021-11-24,AAPL,1914.0,81149.0,110648.0,18186184.0,
2021-11-24,ABBV,30.0,18.0,220.0,81763.0,
2021-11-24,AES,3940.0,8691748.0,10063467.0,431529.0,
2021-11-24,AMD,517.0,769.0,4191.0,3959779.0,
2021-11-24,AMZN,939.0,59187.0,87674.0,10303057.0,
2021-11-24,ATVI,112.0,5433.0,16011.0,270254.0,
2021-11-24,BA,118.0,88.0,578.0,470106.0,
2021-11-24,CRM,21.0,7.0,18.0,206641.0,
2021-11-24,DAL,25.0,800.0,468.0,165083.0,
2021-11-24,DIS,363.0,428.0,3733.0,2229583.0,
2021-11-24,ES,179.0,177.0,766.0,895514.0,
2021-11-24,F,267.0,1466.0,8771.0,1749229.0,
2021-11-24,GOOG,446.0,51004.0,112794.0,887097.0,
2021-11-24,GOOGL,261.0,3432.0,9811.0,9763912.0,
2021-11-24,GS,170.0,9670.0,20188.0,758967.0,
2021-11-24,JPM,299.0,1538.0,10062.0,2674158.0,
2021-11-24,KEY,253.0,222.0,1288.0,714602.0,
2021-11-24,MA,112.0,214.0,1055.0,464352.0,
2021-11-24,META,628.0,15540.0,47716.0,2442839.0,
2021-11-24,MNST,165.0,6998.0,10194.0,1089263.0,
2021-11-24,MSFT,329.0,7971.0,19398.0,2434562.0,
2021-11-24,MU,255.0,327.0,1737.0,1995839.0,
2021-11-24,NFLX,155.0,2289.0,3713.0,963473.0,
2021-11-24,NKE,47.0,583.0,2881.0,268375.0,
2021-11-24,NVDA,702.0,2800.0,19430.0,3227724.0,
2021-11-24,OXY,373.0,235137.0,72393.0,202001.0,
2021-11-24,PFE,120.0,425.0,3003.0,782182.0,
2021-11-24,PG,21.0,114.0,861.0,80889.0,
2021-11-24,T,52.0,323.0,1536.0,437396.0,
2021-11-24,TSLA,6179.0,282583.0,2799543.0,25654205.0,
2021-11-24,V,157.0,598.0,3627.0,805457.0,
2021-11-25,AAPL,752.0,30754.0,45567.0,3020736.0,
2021-11-25,AES,3024.0,17986648.0,20473580.0,269366.0,
2021-11-25,AMD,257.0,6787.0,11530.0,2469560.0,
2021-11-25,AMZN,342.0,21357.0,116621.0,2862238.0,
2021-11-25,ATVI,25.0,963.0,3061.0,184091.0,
2021-11-25,DIS,62.0,53.0,430.0,199976.0,
2021-11-25,F,86.0,109.0,1888.0,303277.0,
2021-11-25,FCX,26.0,547.0,915.0,44499.0,
2021-11-25,GOOG,45.0,2663.0,5972.0,742122.0,
2021-11-25,GOOGL,216.0,7674.0,25021.0,687321.0,
2021-11-25,GS,120.0,899.0,2164.0,353578.0,
2021-11-25,JPM,91.0,420.0,2629.0,684388.0,
2021-11-25,KEY,85.0,959.0,5333.0,316815.0,
2021-11-25,MA,23.0,75.0,212.0,192710.0,
2021-11-25,META,245.0,1187.0,5777.0,2133236.0,
2021-11-25,MNST,48.0,2772.0,1717.0,208077.0,
2021-11-25,MSFT,248.0,3207.0,14936.0,1045045.0,
2021-11-25,MU,42.0,113.0,1168.0,95151.0,
2021-11-25,NFLX,87.0,96.0,647.0,512164.0,
2021-11-25,NVDA,314.0,591.0,4243.0,1725367.0,
2021-11-25,PFE,25.0,27.0,127.0,103196.0,
2021-11-25,SLB,104.0,8627.0,18329.0,84457.0,
2021-11-25,TSLA,4372.0,348568.0,3625485.0,11871569.0,
2021-11-25,V,28.0,103.0,578.0,106389.0,
2021-11-26,AAL,207.0,91.0,372.0,1529883.0,
2021-11-26,AAPL,1337.0,15922.0,84418.0,9621893.0,
2021-11-26,ABT,23.0,8.0,26.0,154897.0,
2021-11-26,AES,2542.0,22337689.0,25770985.0,241711.0,
2021-11-26,AMD,314.0,645.0,6654.0,2129984.0,
2021-11-26,AMZN,815.0,4910.0,22276.0,6534940.0,
2021-11-26,BA,407.0,500.0,1918.0,2334265.0,
2021-11-26,DAL,209.0,1384.0,2044.0,1220675.0,
2021-11-26,DIS,231.0,95.0,586.0,1089918.0,
2021-11-26,ES,555.0,446.0,3030.0,1646975.0,
2021-11-26,F,116.0,23.0,59.0,757276.0,
2021-11-26,GOOG,92.0,93.0,237.0,334994.0,
2021-11-26,GOOGL,146.0,2193.0,8449.0,688553.0,
2021-11-26,GS,112.0,15841.0,19920.0,265887.0,
2021-11-26,JPM,71.0,148.0,832.0,512933.0,
2021-11-26,KEY,41.0,278.0,1385.0,247428.0,
2021-11-26,MA,38.0,63.0,562.0,174451.0,
2021-11-26,META,440.0,1470.0,6318.0,3629651.0,
2021-11-26,MSFT,342.0,1118.0,5087.0,2366542.0,
2021-11-26,MU,49.0,360.0,3386.0,333163.0,
2021-11-26,NFLX,239.0,1543.0,12616.0,2178777.0,
2021-11-26,NVDA,380.0,466.0,3110.0,1839621.0,
2021-11-26,OXY,409.0,223033.0,82414.0,319558.0,
2021-11-26,PFE,1713.0,75444.0,257795.0,18807084.0,
2021-11-26,T,37.0,72.0,126.0,166276.0,
2021-11-26,TSLA,3971.0,107258.0,976751.0,14315161.0,
2021-11-26,V,87.0,258.0,1677.0,467066.0,
2021-11-27,AAL,40.0,16.0,113.0,51186.0,
2021-11-27,AAPL,604.0,22158.0,86873.0,2430151.0,
2021-11-27,ABT,29.0,7.0,39.0,1842.0,
2021-11-27,AES,1105.0,11669683.0,13512964.0,165126.0,
2021-11-27,AMD,328.0,5828.0,38691.0,1484048.0,
2021-11-27,AMZN,387.0,5466.0,30273.0,1718609.0,
2021-11-27,BA,619.0,141260.0,156978.0,501984.0,
2021-11-27,CRM,34.0,45.0,180.0,94175.0,
2021-11-27,DIS,68.0,65.0,537.0,140176.0,
2021-11-27,ES,21.0,16.0,105.0,39219.0,
2021-11-27,F,59.0,142.0,909.0,239293.0,
2021-11-27,GOOG,24.0,50.0,363.0,58063.0,
2021-11-27,GOOGL,163.0,3282.0,12039.0,424086.0,
2021-11-27,KEY,58.0,827.0,5878.0,103499.0,
2021-11-27,META,243.0,3089.0,14667.0,2176291.0,
2021-11-27,MNST,562.0,387201.0,381468.0,236645.0,
2021-11-27,MSFT,373.0,6388.0,33703.0,1432404.0,
2021-11-27,NFLX,85.0,251.0,2246.0,385501.0,
2021-11-27,NVDA,264.0,1615.0,9803.0,1285193.0,
2021-11-27,PFE,527.0,10942.0,41898.0,4439342.0,
2021-11-27,T,40.0,89.0,319.0,47848.0,
2021-11-27,TSLA,4303.0,211360.0,1650211.0,10318206.0,
2021-11-28,AAL,28.0,18.0,83.0,945427.0,
2021-11-28,AAPL,812.0,15952.0,97341.0,2928903.0,
2021-11-28,ABT,38.0,0.0,0.0,3415.0,
2021-11-28,AES,627.0,7292447.0,8463282.0,26448.0,
2021-11-28,AMD,335.0,10497.0,53401.0,1798840.0,
2021-11-28,AMZN,557.0,5818.0,40909.0,38334141.0,
2021-11-28,BA,106.0,15833.0,18632.0,290272.0,
2021-11-28,CRM,142.0,748.0,3038.0,1601809.0,
2021-11-28,DIS,100.0,2762.0,10043.0,1056192.0,
2021-11-28,ES,51.0,87.0,736.0,121873.0,
2021-11-28,F,79.0,225.0,2014.0,360309.0,
2021-11-28,GOOGL,107.0,2046.0,7639.0,318814.0,
2021-11-28,GS,25.0,30.0,100.0,43677.0,
2021-11-28,META,249.0,1502.0,9208.0,1789548.0,
2021-11-28,MNST,1221.0,2106193.0,2022331.0,475158.0,
2021-11-28,MSFT,366.0,12607.0,121535.0,1396397.0,
2021-11-28,NFLX,82.0,992.0,8857.0,658893.0,
2021-11-28,NKE,26.0,226.0,1318.0,84653.0,
2021-11-28,NVDA,283.0,2022.0,14326.0,1160780.0,
2021-11-28,PFE,541.0,21330.0,64953.0,8133225.0,
2021-11-28,TSLA,4510.0,259298.0,2141552.0,9483982.0,
2021-11-29,AAL,123.0,88.0,304.0,635723.0,
2021-11-29,AAPL,1337.0,9818.0,65700.0,7974431.0,
2021-11-29,ABBV,23.0,72.0,99.0,37357.0,
2021-11-29,ABT,29.0,2.0,0.0,5999.0,
2021-11-29,AES,53.0,607432.0,707086.0,207146.0,
2021-11-29,AMD,1047.0,9360.0,27722.0,6499865.0,
2021-11-29,AMZN,1208.0,17207.0,71684.0,11335048.0,
2021-11-29,ATVI,24.0,4.0,10.0,51646.0,
2021-11-29,BA,601.0,102172.0,113344.0,1075312.0,
2021-11-29,C,23.0,15.0,71.0,132886.0,
2021-11-29,CRM,212.0,365.0,1706.0,6245222.0,
2021-11-29,DAL,91.0,57.0,208.0,1269895.0,
2021-11-29,DIS,610.0,3100.0,12425.0,4051290.0,
2021-11-29,EBAY,32.0,44.0,184.0,197756.0,
2021-11-29,ES,334.0,309.0,2213.0,1035199.0,
2021-11-29,F,165.0,107.0,883.0,744720.0,
2021-11-29,FCX,151.0,13727.0,17468.0,229752.0,
2021-11-29,GILD,26.0,26.0,18.0,74298.0,
2021-11-29,GOOG,128.0,875.0,6133.0,843834.0,
2021-11-29,GOOGL,189.0,1349.0,11583.0,380115.0,
2021-11-29,GS,48.0,8.0,68.0,186214.0,
2021-11-29,JPM,30.0,62.0,131.0,193910.0,
2021-11-29,KEY,42.0,70.0,270.0,181674.0,
2021-11-29,KO,22.0,5.0,25.0,37754.0,
2021-11-29,MA,31.0,106.0,653.0,66106.0,
2021-11-29,META,739.0,2725.0,19876.0,6415891.0,
2021-11-29,MO,27.0,184.0,222.0,70319.0,
2021-11-29,MSFT,558.0,8138.0,57736.0,3523654.0,
2021-11-29,MU,42.0,12.0,111.0,334349.0,
2021-11-29,NFLX,158.0,581.0,3475.0,606417.0,
2021-11-29,NVDA,673.0,1204.0,9425.0,4346185.0,
2021-11-29,OXY,473.0,490737.0,176318.0,288019.0,
2021-11-29,PFE,1036.0,9438.0,31585.0,11618369.0,
2021-11-29,T,101.0,82.0,265.0,327079.0,
2021-11-29,TSLA,4749.0,192178.0,1855976.0,19846722.0,
2021-11-29,V,75.0,144.0,893.0,4571771.0,
2021-11-30,AAL,172.0,98.0,505.0,1051722.0,
2021-11-30,AAPL,3706.0,11322.0,81387.0,28415161.0,
2021-11-30,ABBV,36.0,542.0,2016.0,195332.0,
2021-11-30,ABT,114.0,1020.0,4326.0,256059.0,
2021-11-30,AES,42.0,401816.0,467785.0,131511.0,
2021-11-30,AMD,1120.0,14276.0,54765.0,8227176.0,
2021-11-30,AMZN,1204.0,4924.0,28083.0,15762103.0,
2021-11-30,ATVI,32.0,102.0,1228.0,276355.0,
2021-11-30,BA,280.0,41573.0,45956.0,1468057.0,
2021-11-30,C,27.0,0.0,1.0,45781.0,
2021-11-30,CRM,784.0,818.0,3272.0,13477365.0,
2021-11-30,DAL,61.0,43.0,224.0,266425.0,
2021-11-30,DIS,566.0,669.0,6920.0,4026180.0,
2021-11-30,ES,505.0,281.0,2237.0,2323851.0,
2021-11-30,F,289.0,143.0,1066.0,2131099.0,
2021-11-30,FCX,85.0,7939.0,9788.0,93598.0,
2021-11-30,GOOG,203.0,1706.0,8852.0,989971.0,
2021-11-30,GOOGL,234.0,16949.0,69773.0,798726.0,
2021-11-30,GS,70.0,18.0,100.0,480111.0,
2021-11-30,JPM,73.0,51.0,213.0,648678.0,
2021-11-30,KO,90.0,167.0,740.0,779208.0,
2021-11-30,MA,105.0,246.0,1256.0,856991.0,
2021-11-30,META,864.0,3064.0,17228.0,10126561.0,
2021-11-30,MNST,27.0,121.0,325.0,278349.0,
2021-11-30,MSFT,814.0,18711.0,79366.0,5132293.0,
2021-11-30,MU,128.0,660.0,6549.0,385689.0,
2021-11-30,NFLX,245.0,3037.0,9770.0,1566879.0,
2021-11-30,NKE,105.0,593.0,3650.0,678342.0,
2021-11-30,NVDA,823.0,8577.0,43194.0,4466116.0,
2021-11-30,OXY,61.0,53895.0,20505.0,24667.0,
2021-11-30,PFE,876.0,1783.0,8110.0,5450305.0,
2021-11-30,PM,23.0,20.0,90.0,338702.0,
2021-11-30,REGN,171.0,565.0,1359.0,3315178.0,
2021-11-30,T,318.0,92.0,437.0,1819157.0,
2021-11-30,TSLA,5793.0,245501.0,2442792.0,22874291.0,
2021-11-30,V,71.0,306.0,2142.0,575261.0,
2021-12-01,AAL,160.0,48.0,577.0,960943.0,
2021-12-01,AAPL,5409.0,124761.0,593101.0,38137090.0,
2021-12-01,ABT,35.0,2.0,7.0,18118.0,
2021-12-01,AMD,594.0,13153.0,60154.0,4240710.0,
2021-12-01,AMZN,1467.0,35288.0,165648.0,11682438.0,
2021-12-01,ATVI,27.0,36.0,94.0,49516.0,
2021-12-01,BA,373.0,17884.0,22148.0,1365903.0,
2021-12-01,CRM,1077.0,883.0,4171.0,16487876.0,
2021-12-01,DAL,154.0,406.0,981.0,5667232.0,
2021-12-01,DIS,486.0,293.0,1869.0,4544537.0,
2021-12-01,ES,657.0,863.0,6942.0,1957580.0,
2021-12-01,F,432.0,308.0,2834.0,1536564.0,
2021-12-01,FCX,173.0,16548.0,20608.0,319764.0,
2021-12-01,GOOG,136.0,1099.0,2692.0,512312.0,
2021-12-01,GOOGL,386.0,67667.0,292054.0,2792711.0,
2021-12-01,GS,79.0,48.0,162.0,660261.0,
2021-12-01,JPM,101.0,157.0,651.0,594786.0,
2021-12-01,KEY,32.0,40.0,168.0,54998.0,
2021-12-01,MA,120.0,939.0,5125.0,531286.0,
2021-12-01,META,1112.0,15414.0,86868.0,7331427.0,
2021-12-01,MSFT,519.0,10033.0,45211.0,3540058.0,
2021-12-01,MU,261.0,187.0,1485.0,1715594.0,
2021-12-01,NFLX,284.0,34885.0,153469.0,2107990.0,
2021-12-01,NKE,110.0,995.0,9940.0,280910.0,
2021-12-01,NVDA,787.0,18011.0,82362.0,3426479.0,
2021-12-01,OXY,53.0,5.0,26.0,186693.0,
